,DateOnly,Actual_kWh,Production1,Production2,Feed
293,2019-10-21,190724.0,13718.05973,16265.94498,13718.05973
294,2019-10-22,170269.0,12555.754505,12443.82472,12555.754505
295,2019-10-23,193909.0,16281.878625,18128.63808,16281.878625
296,2019-10-24,142098.0,9084.6602265,10023.22355,9084.6602265
297,2019-10-25,158102.0,10168.89789,12203.11439,10168.89789
298,2019-10-26,164975.0,9137.4586225,11052.42897,9137.4586225
299,2019-10-27,43703.0,4.731804181999999,,4.731804181999999
300,2019-10-28,132693.0,0.0006,16923.96157,0.0006
301,2019-10-29,130775.0,16.47231832,15781.89536,16.47231832
302,2019-10-30,204677.0,8237.154058,17755.87848,8237.154058
303,2019-10-31,122000.0,6834.584605,7401.882837,6834.584605
304,2019-11-01,200558.0,19009.446035,19982.4251,19009.446035
305,2019-11-02,177351.0,12859.084445,15711.00034,12859.084445
306,2019-11-03,46998.0,160.784862,,160.784862
307,2019-11-04,189332.0,17092.126445,17089.02223,17092.126445
308,2019-11-05,201535.0,16731.99739,18568.9557,16731.99739
309,2019-11-06,146004.0,7130.689536,9204.167089,7130.689536
310,2019-11-07,100467.0,5391.6688755,8384.443459,5391.6688755
311,2019-11-08,193408.0,17432.337935,18656.46674,17432.337935
312,2019-11-09,153177.0,9924.908983000001,12552.84889,9924.908983000001
313,2019-11-10,40076.0,747.4621795,,747.4621795
314,2019-11-11,187590.0,15692.5091,16884.09132,15692.5091
315,2019-11-12,141344.0,7285.256984,8180.620286,7285.256984
316,2019-11-13,198947.0,15756.791415,17404.7266,15756.791415
317,2019-11-14,121463.0,5749.579752,7714.264004,5749.579752
318,2019-11-15,140724.0,9503.3870005,8500.755595,9503.3870005
319,2019-11-16,206257.0,19219.920175,23065.25059,19219.920175
320,2019-11-17,45816.0,540.4885328,,540.4885328
321,2019-11-18,201423.0,18099.370175,18828.16561,18099.370175
322,2019-11-19,191064.0,15747.315895,17147.73216,15747.315895
323,2019-11-20,140097.0,9671.1578175,10537.87959,9671.1578175
324,2019-11-21,208861.0,18884.41508,21301.73705,18884.41508
325,2019-11-22,191643.0,14594.461080000001,16836.45873,14594.461080000001
326,2019-11-23,187841.0,15388.247360000001,22866.96609,15388.247360000001
327,2019-11-24,40076.0,5660.544226,,5660.544226
328,2019-11-25,187590.0,16891.65494,18313.069,16891.65494
329,2019-11-26,141344.0,8657.7429495,8805.38262,8657.7429495
330,2019-11-27,198947.0,14586.994885,16686.91455,14586.994885
331,2019-11-28,121463.0,6123.0101565,6920.826318,6123.0101565
332,2019-11-29,140724.0,17190.159375,19132.02012,17190.159375
333,2019-11-30,206257.0,16186.060604999999,21859.4167,16186.060604999999
334,2019-12-01,45816.0,984.0874549,,984.0874549
335,2019-12-02,179006.0,14482.634924999998,15903.29769,14482.634924999998
336,2019-12-03,174564.0,12351.11376,14017.57661,12351.11376
337,2019-12-04,140559.0,4820.9234400000005,4479.737387,4820.9234400000005
338,2019-12-05,195992.0,16083.369035,18492.71468,16083.369035
339,2019-12-06,194425.0,14749.691060000001,16884.10262,14749.691060000001
340,2019-12-07,196906.0,16153.72062,20238.15651,16153.72062
341,2019-12-08,43162.0,202.69171245,0.0,202.69171245
342,2019-12-09,169946.0,12070.506785,13916.39158,12070.506785
343,2019-12-10,124530.0,6337.718628,7442.849104,6337.718628
344,2019-12-11,146490.0,9998.9144295,11378.71694,9998.9144295
345,2019-12-12,196052.0,15016.076420000001,18678.98713,15016.076420000001
346,2019-12-13,202712.0,16135.914550000001,20260.00328,16135.914550000001
347,2019-12-14,196682.0,16213.20952,19979.44477,16213.20952
348,2019-12-15,42652.0,36.000600815,,36.000600815
349,2019-12-16,52706.0,833.9028306499999,,833.9028306499999
350,2019-12-17,202923.0,16351.47153,17718.87914,16351.47153
351,2019-12-18,196815.0,15458.77355,17987.93934,15458.77355
352,2019-12-19,88282.0,3697.407953,3274.715626,3697.407953
353,2019-12-20,208090.0,20018.31314,22404.43609,20018.31314
354,2019-12-21,197703.0,16845.1112,21152.2713,16845.1112
355,2019-12-22,51789.0,419.5681218,,419.5681218
356,2019-12-23,187739.0,16995.936515,17904.00176,16995.936515
357,2019-12-24,148353.0,10445.573325,13640.4324,10445.573325
358,2019-12-25,36577.0,36.000600815,,36.000600815
359,2019-12-26,148381.0,13542.28656,14302.73444,13542.28656
360,2019-12-27,151016.0,12211.61923,12989.62866,12211.61923
361,2019-12-28,199539.0,14542.861395,18536.40822,14542.861395
362,2019-12-29,45106.0,557.31921605,,557.31921605
363,2019-12-30,191406.0,17027.564165,18196.05856,17027.564165
364,2019-12-31,155632.0,4106.905595,6402.253022,4106.905595
365,2020-01-01,196815.0,36.000600815,,36.000600815
366,2020-01-02,88282.0,35.996795725,,35.996795725
367,2020-01-03,208090.0,5184.4730855,,5184.4730855
368,2020-01-04,197703.0,6337.0061925,,6337.0061925
369,2020-01-05,51789.0,412.32409765,,412.32409765
370,2020-01-06,187739.0,10434.545095,,10434.545095
371,2020-01-07,197263.0,14131.77892,,14131.77892
372,2020-01-08,117699.0,5994.702152,,5994.702152
373,2020-01-09,86884.0,4893.232728,,4893.232728
374,2020-01-10,179148.0,13881.900959999999,,13881.900959999999
375,2020-01-11,113197.0,7867.2102385,,7867.2102385
376,2020-01-12,33493.0,974.8586134,,974.8586134
377,2020-01-13,194561.0,18135.63552,,18135.63552
378,2020-01-14,191515.0,15716.26378,,15716.26378
379,2020-01-15,205528.0,18075.233480000003,,18075.233480000003
380,2020-01-16,150092.0,7415.0411115,,7415.0411115
381,2020-01-17,204579.0,18612.874770000002,,18612.874770000002
382,2020-01-18,145176.0,9977.110131,,9977.110131
383,2020-01-19,36217.0,42.167805680059004,,42.167805680059004
384,2020-01-20,194585.0,17686.06804,,17686.06804
385,2020-01-21,200222.0,18061.04675,,18061.04675
386,2020-01-22,207948.0,16710.96542,,16710.96542
387,2020-01-23,138099.0,9009.634383,,9009.634383
