,DateOnly,Actual-kWh,DOW1,DOW2,Flag
585,2020-08-08,108416,6,Saturday,0
586,2020-08-09,50681.5,7,Sunday,0
587,2020-08-10,106324,1,Monday,0
588,2020-08-11,102193,2,Tuesday,0
589,2020-08-12,102012.5,3,Wednesday,0
590,2020-08-13,82637,4,Thursday,0
591,2020-08-14,110963,5,Friday,0
592,2020-08-15,97998,6,Saturday,0
593,2020-08-16,50461,7,Sunday,0
594,2020-08-17,110569.5,1,Monday,0
595,2020-08-18,113118,2,Tuesday,0
596,2020-08-19,114924.5,3,Wednesday,0
597,2020-08-20,66652,4,Thursday,0
598,2020-08-21,108214,5,Friday,0
599,2020-08-22,107478,6,Saturday,0
600,2020-08-23,30995,7,Sunday,0
601,2020-08-24,109452.5,1,Monday,0
602,2020-08-25,106238.5,2,Tuesday,0
603,2020-08-26,114425,3,Wednesday,0
604,2020-08-27,78802,4,Thursday,0
605,2020-08-28,110227,5,Friday,0
606,2020-08-29,103064,6,Saturday,0
607,2020-08-30,27060,7,Sunday,0
608,2020-08-31,114439.5,1,Monday,0
609,2020-09-01,92800.5,2,Tuesday,0
610,2020-09-02,113119.5,3,Wednesday,0
611,2020-09-03,68102,4,Thursday,0
612,2020-09-04,113485.5,5,Friday,0
613,2020-09-05,110898.5,6,Saturday,0
614,2020-09-06,29906,7,Sunday,0
615,2020-09-07,110524,1,Monday,0
616,2020-09-08,103632,2,Tuesday,0
617,2020-09-09,112131.5,3,Wednesday,0
618,2020-09-10,75394.5,4,Thursday,0
619,2020-09-11,107175,5,Friday,0
620,2020-09-12,60908,6,Saturday,0
621,2020-09-13,32555,7,Sunday,0
622,2020-09-14,107979.5,1,Monday,0
623,2020-09-15,109953.5,2,Tuesday,0
624,2020-09-16,110270,3,Wednesday,0
625,2020-09-17,76948.5,4,Thursday,0
626,2020-09-18,102335,5,Friday,0
627,2020-09-19,112226.5,6,Saturday,0
628,2020-09-20,49321.5,7,Sunday,0
629,2020-09-21,109022,1,Monday,0
